"WORD","PART_OF_SPEECH","PRONUNCIATION","DEFINITION","LITERAL_TRANSLATION","RELATED_PHRASE","RELATED_PHRASE_DEFINITION","RELATED_PHRASE_LITERAL_TRANSLATION","RELATED_PHRASE_AUDIO_TITLE","RELATED_PHRASE_AUDIO_FILENAME","RELATED_PHRASE_AUDIO_SOURCE","CATEGORIES","CULTURAL_NOTE","REFERENCE","INCLUDE_IN_GAMES","CHILD_FRIENDLY","AUDIO_TITLE","AUDIO_DESCRIPTION","AUDIO_FILENAME","AUDIO_SHARED_WITH_OTHER_DIALECTS","AUDIO_CHILD_FOCUSED","AUDIO_SOURCE","AUDIO_RECORDER","IMG_TITLE","IMG_FILENAME","IMG_DESCRIPTION","IMG_SOURCE","USERNAME","CONTRIBUTOR"
"huut","intransitive verb","huut","escape; flee (pl.); run away (pl.)","","Huuda dip Dzon dis Meli.","John and Mary escaped.","","Spoken example sentence with word: huut","huut-vn-hb-02.mp3","","","","Dunn, Practical Dictionary entry: 827.","1","","","","huut-vn-hb-02.mp3","","","","","","","","","","",
"luuts","intransitive verb","","strong-flavoured, pungent","","Ła luudza hoon.","The fish is strong-flavoured.","","","","","","","","1","","","","","","","","","","","","","","",
"noosü","common noun","","wolverine","","","","","","","","","","Dunn, Practical Dictionary entry: 1557.","1","","","","","","","","","","","","","","",
"lut'iłt'ał","transitive verb","lu/t'ił/*t'aał","serve food; put into (pl.)","","Lu t'iłt'ała p'iiłgm sgusiit da ts'm g̱aył.","Put the mashed potatoes into a bowl.","","Spoken example sentence with word: lut'iłt'ał","lut'ilt'aal-em-hb-02.mp3","","","","","1","","","","lut'ilt'aal-em-hb-02.mp3","","","","","Image depicting: lut'iłt'ał","WOMAN SERVING DINNER.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"lut'iłt'ał","intransitive verb","lu/t'ił/*t'aał","have seconds (pl.)","","Dm lu t'iłt'ał'nsmi? Heelda wineeya.","Are you going to have a second helping?  There is a lot of food.","","","","","","","","1","","","","","","","","","Image depicting: lut'iłt'ał","","","","","",
"gyimgya","Adverb","*gyim/gya","more, additional (used only before numbers)","","Gyimgya k'wilii g̱anuutga maant, dm hakhałelsm.","There are three more weeks left for us to work.","","Spoken example sentence with word: gyimgya","gyimgya-sc-k-01.mp3","","","","","1","","","","gyimgya-sc-k-01.mp3","","","","","","","","","","",
"gyimgya","preverbal","*gyim/gya","only, just (used only before numbers)","","ada ła gyimgya k'ool Sm'ooygitga maant","and when one last chief remained","","","","Beynon m 20.1","","","","1","","","","","","","","","","","","","","",
"gyibaaw","common noun","gyi/*baaw","wolf; by extension this may refer to a coyote","","Heelda gyibaaw da g̱a̱ldoo.","There are a lot of wolves at camp.","","Spoken example sentence with word: gyibaaw","gibaaw-db-kk-03.mp3","","","","Dunn, Practical Dictionary entry: 583. ","1","","","","gibaaw-db-kk-03.mp3","","","","","Image depicting: gyibaaw","WOLF 05.jpg","","Image from Print Artist software, version 23, Bonus Graphics CD.","","",
"k'yidos","transitive verb","","submerge","","","","","","","","","","Dunn, Practical Dictionary entry: 1051.","1","","","","","","","","","","","","","","",
"luupk","transitive verb","luupk","sew; mend ","","Luupga np'a̱xsn.","Mend your trousers.","","Spoken example sentence with word: luupk","luupk-em-hb-02.mp3","","","","Dunn, Practical Dictionary entry: 1257.","1","","","","luupk-em-hb-02.mp3","","","","","Image depicting: luupk","luupk.bmp","","Netmending - Photograph courtesy of Tammy Blumhagen.","","",
"luk'wil gyemk","intransitive verb","","red hot","","","","","","","","","","Dunn, Practical Dictionary entry: 1225.","1","","","","","","","","","","","","","","",
"txaloop","intransitive verb","","","","","","","","","","","","","1","","","","","","","","","","","","","","",
"liwaay","common noun","li/*waay","paddlers","","","","","","","","","","Dunn, Practical Dictionary entry: 2041. Dunn, Practical Dictionary entry: 235.  Dunn, Practical Dictionary entry: 831.  Dunn, Practical Dictionary entry: 1265.","1","","","","","","","","","","","","","","",
"liwaay","intransitive verb","li/*waay","paddle (pl.); paddle; row (pl.)","","'A̱p sm sag̱ayt k'üül, wila liwaaydas dip gwa̱'a̱.","It's really in unison how these guys are paddling.","","Spoken example sentence with word: liwaay","lawaay-dl-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 2041. Dunn, Practical Dictionary entry: 235.  Dunn, Practical Dictionary entry: 831.  Dunn, Practical Dictionary entry: 1265.","1","","","","lawaay-dl-hb-01.mp3","","","","","Image depicting: liwaay","People - General 304.jpg","","Image from Print Artist Platinum software, version 23, Supplementary Graphics CD.","","",
"liwaay","intransitive verb","li/*waay","paddle; row (pl.)","","","","","","","","","","Dunn, Practical Dictionary entry: 2041. Dunn, Practical Dictionary entry: 235.  Dunn, Practical Dictionary entry: 831.  Dunn, Practical Dictionary entry: 1265.","1","","","","","","","","","Image depicting: liwaay","Boats & Ships 125.jpg","","Image from Print Artist Platinum, Version 23, Supplementary Images CD.","","",
"Wiltgibaawan","common noun","","","","Wiltkibaawan","where down=run deer (This is the name of a place where deer were run over a cliff.)","","","","Place na 4.1","","","","1","","","","","","","","","","","","","","",
"yeł","common noun","yeł","slime","","Hooltga g̱a'a̱n'onu da yełm hoon.","My hands are full of fish slime.","","Spoken example sentence with word: yeł","yel-slime-dl-hb-03.mp3","","","","Dunn, Practical Dictionary entry: 2232.","1","","","","yel-slime-dl-hb-03.mp3","","","","","","","","","","",
"yeł","common noun","yeł","phlegm","","Xyełga'nu.","I have tuberculosis. (or I have phlegm)","","","","Fumiko S 371.1","","","Dunn, Practical Dictionary entry: 2232.","1","","","","","","","","","","","","","","",
"laalt","common noun","laalt","worm","","Ts'ima'anta gyila̱k'yoo laalt.","The robin likes worms.","","Spoken example sentence with word: laalt","laalt-dl-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 1066.","1","","Person saying: laalt","","laalt-dl-hb-01.mp3","","","","","Image depicting: laalt","Insects & Reptiles 0135.jpg","","Image from Print Artist Platinum, Version 23, Supplementary Images CD.","","",
"g̱a̱ldoo","common noun","","camp","","G̱a̱ldoo wil dzog̱a g̱a̱siła'asgit ","Camp is where the seaweed pickers live.","","","","","","","Dunn, Practical Dictionary entry: 351.","1","","","","","","","","","Image depicting: g̱a̱ldoo","CABIN IN SNOW 2.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"la̱xhuu","common noun","la̱x/*huu","sandbar","","adat uks t'ałit a 'wii la̱xhuut, txa̱naaẅ na g̱alts'apt.","and unloaded it at the big sandbar, opposite their village.","","","","Beynon m 16.1","","","","1","","Person saying: la̱xhuu","","","","","","","","","","","","",
"la̱xhuu","common noun","la̱x/*huu","reef","","'Lii baa dp awaan da la̱xhuu.","They ran up on a reef.","","Spoken example sentence with word: la̱xhuu","laxhuu-ab-hb-01.mp3","","","","","1","","Person saying: la̱xhuu","","laxhuu-ab-hb-01.mp3","","","","","","","","","","",
"haaxk","intransitive verb","haaxk","suffer; be miserable; overburdened","","Luk'wil haaxga 'yuuta sg̱a̱'naga siipgit.","The man really suffered, he was sick for so long.","","Spoken example sentence with word: haaxk","haaxk-mw-hb-01.mp3","","","","Dunn, Practical Dictionary entry:  655.","1","","Person saying: haaxk","","haaxk-mw-hb-01.mp3","","","","","","","","","","",
"haaxk","intransitive verb","haaxk","difficult","","Sm haaxga da k'oy nm dzapt.","It is difficult for me to do it.","","Spoken example sentence with word: haaxk","636870605590565371A LexExampleSentence.mp3","Beatrice Robinson, Gitxaała","","","Dunn, Practical Dictionary entry:  655.","1","","Person saying: haaxk","","636870605590565371A LexExampleSentence.mp3","","","","","","","","","","",
"da̱xsmt'aa","intransitive verb","*da̱xs/m/*t'aa","sit still","","Da̱xsmt'aan, ła dm yeltgas noon.","Sit still, your mother is about to return.","","Spoken example sentence with word: da̱xsmt'aa","daxsmt'aa-dr-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 204.","1","","","","daxsmt'aa-dr-hb-01.mp3","","","","","Image depicting: da̱xsmt'aa","Baby 027.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD. ","","",
"'yaayx","transitive verb","'yaayx","hang (pl.)","","Ła g̱awdi dip 'yaayg̱a sg̱a'yaayḵ'a.","We're through hanging up the curtains.","","Spoken example sentence with word: 'yaayx","'yaayx-dl-hb-03.mp3","Darlene Leland, Txałgiiw","","","Dunn, Practical Dictionary entry: 2225.","1","","Person saying: 'yaayx","","'yaayx-dl-hb-03.mp3","","","","","Image depicting: 'yaayx","fishtales.jpg","","Phtograph courtesy of Margaret Anderson","","",
"gyi'liilpk","common noun","gyi/*'liilpk","place behind one","","'Na gyi'liilba Kxeen wil t'aa łgu 'wiileeksit.","Behind Prince Rupert is where the elderly person lives.","","Spoken example sentence with word: gyi'liilpk","gyii'liilpk-sc-k-01.mp3","","","","Dunn, Practical Dictionary entry: 612.","1","","","","gyii'liilpk-sc-k-01.mp3","","","","","","","","","","",
"na'ax","common noun","","baby girl (a term of affection)","","Ła dm łgu k'uł yaas na'ax.","The baby girl is about to walk.","","","","","","","","1","","Person saying: na'ax","","","","","","","Image depicting: na'ax","BABY CRAWLING 02.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"gyiiyka g̱oot","intransitive verb","","","","","","","","","","","","","1","","","","","","","","","","","","","","",
"kpi'itsg̱n","number","k/*pi'its/g̱n","ten (long objects)","","Sag̱ayt kpi'itsg̱n pts'aan ma̱xsnt.","They stood up ten totem poles.","","Spoken example sentence with word: kpi'itsg̱n","kpi'itsgn-br-k-01.mp3","","","","Dunn, Practical Dictionary entry: 902.  Dunn, Practical Dictionary entry: 948.","1","","","","kpi'itsgn-br-k-01.mp3","","","","","","","","","","",
"ts'iwaalt","common noun","ts'i/*waalt","finger","","Sipsiipga g̱a̱ts'iwaalt.","All his fingers are sore.","","Spoken example sentence with word: ts'iwaalt","ts'iwaalt-dl-hb-03.mp3","","","","Dunn, Practical Dictionary entry: 1926.","1","","","","ts'iwaalt-dl-hb-03.mp3","","","","","","","","","","",
"gigilhawtk","intransitive verb","","rave","","Gyiloo gigilhawtgn!","Stop raving!","","","","","","","","1","","","","","","","","","","","","","","",
"haay","intransitive verb","","rotten wood","","Ła haaya g̱a̱n.","The tree is rotten.","","Spoken example sentence with word: haay","636870609633570343A LexExampleSentence.mp3","Beatrice Robinson, Gitxaała","","","Dunn, Practical Dictionary entry: 656.","1","","Person saying: haay","","636870609633570343A LexExampleSentence.mp3","","","","","","","","","","",
"hasooyx","common noun","ha/*sooyx","bell","","Ła yets'a hasooyx.","The bell is ringing.","","","","","","","Dunn, Practical Dictionary entry: 768.","1","","","","","","","","","Image depicting: hasooyx","RING THE BELL.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"txal'ne'en","transitive verb","","bequeath, represent","","","","","","","","","","","1","","","","","","","","","","","","","","",
"ksg̱a̱laan","intransitive verb","ks/g̱a̱l/*laan","be the last; end; final","","'Nii dm ksg̱a̱laanm waalu gwa̱'a̱.","This is the last thing I will do. (Beatrice Robinson, Gitxaała)","","Spoken example sentence with word: ksg̱a̱laan","ksgalaan-br-k-01.mp3","","","","","1","","","","ksgalaan-br-k-01.mp3","","","","","Image depicting: ksg̱a̱laan","Unit 9- other- last .jpg","","Image courtesy of Aboriginal Education, School District 52","","",
"biiya","common noun","*bii/ya","beer","","","","","","","","","","","1","","","","","","","","","Image depicting: biiya","BEER 01.jpg","","Image from Print Artist Software, version 23, Bonus Graphics CD.","","",
"lut'iimk","intransitive verb","","have a deep voice","","Lut'iimg̱a amha̱w 'yuuta liimit.","The man who is singing has a deep voice.","","","","","","","","1","","","","","","","","","","","","","","",
"xts'ii","intransitive verb","x/*ts'ii","thick","","Luk'wil xts'ii xs'waanx da la̱x gyoos.","The herring eggs are really thick on the kelp.","","Spoken example sentence with word: xts'ii","xts'ii-dl-hb-03.mp3","","","","Dunn, Practical Dictionary entry: 328.  Dunn, Practical Dictionary entry: 450.  Dunn, Practical Dictionary entry: 2197.","1","","","","xts'ii-dl-hb-03.mp3","","","","","Image depicting: xts'ii","Unit 1- other- thick.jpg","","Image courtesy of Aboriginal Education, School District 52","","",
"xba̱x","transitive verb","xba̱x","fold","","Gyiloom dza xba̱g̱a gisg̱alt'amlk.","Do not fold the picture.","","Spoken example sentence with word: xba̱x","xbax-dl-hb-03.mp3","","","","Dunn, Practical Dictionary entry: 2134.  entry continued.  Dunn, Practical Dictionary entry: 2159.","1","","","","xbax-dl-hb-03.mp3","","","","","Image depicting: xba̱x","cora1.bmp","","Cora Robinson preparing bark for splitting into hat'al by folding it. Photograph by Margaret Anderson, 1980.","","",
"'wii aatk","common noun","","all night long","","Ada waalt asga 'wii aatga'a.","And he did so all night.","","","","Beynon m 310.1","","","","1","","","","","","","","","","","","","","",
"dip gwa̱'a̱","demonstrative pronoun","","these ones (takes proper noun connectives); these people","","Ts'uu aam la loos dip gwa'a, sg̱a'nak dza waa'nsgit,","Even though they are pretty good, as long as they listen,","","","","Fumiko S 10.1","","","","1","","","","","","","","","","","","","","",
"tgwilaxgiiła̱xs","Placename","","(a placename)","","","","","","","","","","","1","","","","","","","","","","","","","","",
"wila wan g̱a̱g̱oot  -sga","intransitive verb","","","","","","","","","","","","","1","","","","","","","","","","","","","","",
"siks'meexs","intransitive verb","siks/*'meexs","wet the bed","","Siks'meexsa łukda'aynu da la̱x beed.","My grandchild wet the bed.","","","","","","","","1","","","","","","","","","","","","","","",
"ha'liwa̱n","common noun","ha/'li/*wa̱n","chairs (pl.)","","Heelda ha'liwa̱n dm hasa̱g̱m.","We will need lots of chairs.","","","","","","","","1","","","","","","","","","","","","","","",
"g̱a̱nts'aats","common noun","g̱a̱n*ts'aats","drying board, on whicfh skins are spread to scrape off the fat and then dried","","G̱a̱n ts'aats hoyksit wil siluunksa anaasa yets'isk.","They use drying boards to dry animal skins.","","Spoken example sentence with word: g̱a̱nts'aats","ts'aats-dl-hb-03.mp3","","","","Dunn, Practical Dictionary entry: 1903. Dunn, Practical Dictionary entry: 404.","1","","","","ts'aats-dl-hb-03.mp3","","","","","","","","","","",
"ha'lidel","common noun","ha/'li/*del","battleground","","","","","","","","","","Dunn, Practical Dictionary entry: 713.","1","","","","","","","","","","","","","","",
"ha'lidel","transitive verb","ha/'li/*del","issue - the thing that you fight over","","Gooyu ha'lididelsm?","What are you fighting over?","","Spoken example sentence with word: ha'lidel","ha'idildel-mw-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 713.","1","","","","ha'idildel-mw-hb-01.mp3","","","","","","","","","","",
"hałoomboot","common noun","ha/*łoo/m/*boot","sailboat","","Hałoomboot nah 'a̱p di hasa̱g̱u.","A sailboat is what I've always wanted.","","","","","","","Dunn, Practical Dictionary entry: 65.Dunn, Practical Dictionary entry: 748.","1","","","","","","","","","Image depicting: hałoomboot","Boat 2.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD. ","","",
"dzida","CL-INIT subordinating conjunction","*dzi/da","when; if","","Dzida waan da aamt.","If you do it then it'll be all right.","","Spoken example sentence with word: dzida","dzida-pr-hb-01.mp3","Perry Reece, Txałgiiw","","","","1","","","","dzida-pr-hb-01.mp3","","","","","","","","","","",
"gyiłee","intransitive verb","","","","","","","","","","","","","1","","","","","","","","","","","","","","",
"luk'yan ","transitive verb","lu/*k'yan","put in; add in","","Dm dzemn sgüsiit; dziła gwaankst dam ła g̱adza na akst, dawilam luk'yan hoon dił onyens.","Boil potatoes; when they're cooked then dump out the water. Add the fish and onions.","","Spoken example sentence with word: luk'yan ","luk'yan-em'hb-02.mp3","","","","","1","","","","luk'yan-em'hb-02.mp3","","","","","Image depicting: luk'yan ","Unit 8- action- put into container.jpg","","Image courtesy of Aboriginal Education, School District 52","","",
"k'wüdaat","number","k'wü/*daat","one (person aboard a conveyance)","","K'wüdaada hukaadm hana̱'a̱x da la̱x boot.","That woman always fishes alone on the boat.","","Spoken example sentence with word: k'wüdaat","k'widaat-dl-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 1012.","1","","","","k'widaat-dl-hb-01.mp3","","","","","","","","","","",
"'na uu","common noun","","fishing grounds e.g. for halibut fishing)","","Da'ik sigyootga dit gya'wn dawila 'li gyookst gisga 'na uut.","Once again they departed and they went to their halibut fishing grounds.","","","","HB 03 Vi 60.1","","","","1","","","","","","","","","","","","","","",
"sup","common noun","sup","soup","","Dm luḵ'otsḵ'odzu 'yaana̱huu da dm sisubu.","I'm going to cut up some turnips to make soup.","","Spoken example sentence with word: sup","suup-dl-hb-03.mp3","","","","","1","","","","suup-dl-hb-03.mp3","","","","","Image depicting: sup","HOT SOUP.jpg","","Image from Print Artist Platinum edition, version 23, Bonus Graphics CD.","","",
"łemsm 'yuu","common noun","","son-in-law","","Ada wilat 'lii ḵ'a̱n suu 'wii ma̱nlii a la̱x'oo wil sgüü na dzagm txa̱'moo łemsm 'yuut, - ","And then he swung the great plume over where the body of his son-in-law lay.","","","","Boas, Fr 847.1","","","","1","","","","","","","","","","","","","","",
"luwanksa","intransitive verb","lu/*wa̱n/ksa","contained inside (when referring to liquids)","","Luwanksa aks da ts'm uumła gwii.","That pail contains water.","","","","","","","","1","","","","","","","","","","","","","","",
"daxdidaalx","transitive verb","","speak with","","Gyaalmg̱a hoym ła dip da̱xdidaalg̱m Nisg̱a'a.","We use Gyaalmx when we speak to the Nisg̱a'a.","","Spoken example sentence with word: daxdidaalx","didaalx-mb-k-01.mp3","","","","Dunn, Practical Dictionary entry: 180.","1","","","","didaalx-mb-k-01.mp3","","","","","","","","","","",
"gwismati","common noun","gwis/*mati","mountain goat skin coat","","Gwismati di hoyn da ła g̱atgyeda gwatk.","A mountain goat skin robe is used when it the cold is severe.","","Spoken example sentence with word: gwismati","gwismati-sr-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 554.","1","","","","gwismati-sr-hb-01.mp3","","","","","","","","","","",
"xłüp'iins","common noun","","cow parsnip leaves","","","","","","","","","","Dunn, Practical Dictionary entry: 2157.","1","","","","","","","","","","","","","","",
"ada gyik","CL-INIT coordinating conjunction","","and also","","","","","","","","","","","1","","Person saying: ada gyik","","","","","","","","","","","","",
"ma̱n tag̱oox","intransitive verb","","foremost","","Ada nah sg̱a wila'ayls a sm'ooygit asga wila loom wilduulgit g̱an ma̱n tag̱ooxt asga txa̱'niisga sila smgyigyet.","And he was a very learned chief in the ways of warfare so he was foremost among all his fellow chiefs.","","","","Beynon m 179.1","","","","1","","","","","","","","","","","","","","",
"da la","CL-INIT","","and then","","","","","","","","","","","1","","","","","","","","","","","","","","",
"hasba=","preverbal","*has/ba","upside down","","Hasbagyooksa xsoo.","The boat is floating upside down.","","","","","","","","1","","","","","","","","","Image depicting: hasba=","UPSIDE DOWN BOY.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"-'a","Derivational suffix","","detransitivizer (changes a transitive stem to an intransitive one, or a noun)","","'Nii waalsgida Gitḵ'a'ata,","That's what the Gitḵ'a'ata did,","","","","002 Viol 22:4","","","","1","","","","","","","","","","","","","","",
"hagyep sup","common noun","ha/*gyep/*sup","soup ladle","","'Nik'nuunga na̱g̱a̱ts'aaẅ hagyepsup.","Some soup ladles are long.","","Spoken example sentence with word: hagyep sup","636870721454673657A LexExampleSentence.mp3","Beatrice Robinson, Gitxaała","","","Dunn, Practical Dictionary entry: 565.","1","","Person saying: hagyep sup","","636870721454673657A LexExampleSentence.mp3","","","","","Image depicting: hagyep sup","LADLE 03.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"dzap","transitive verb","dzap","do; make; construct; build","","Aam dzabn.","You did well.","","Spoken example sentence with word: dzap","636885271633801704A LexExampleSentence.mp3","Ellen Mason, Txałgiiw","","","Dunn, Practical Dictionary entry: 248.","1","","","","636885271633801704A LexExampleSentence.mp3","","","","","Image depicting: dzap","CARPENTER 01.jpg","","Image from Print Artist Software, version 23, Bonus Graphics CD.","","",
"dzap","transitive verb","dzap","fix something","","Dm al aam dzida łat dzapda wilg̱oosgm hana'a gwa'a.","It will be okay when this smart girl will fix it.","","Spoken example sentence with word: dzap","636885291596566661A LexExampleSentence.mp3","Fumiko S 17.1  Ellen Mason, Txałgiiw","","","Dunn, Practical Dictionary entry: 248.","1","","","","636885291596566661A LexExampleSentence.mp3","","","","","","","","","","",
"dzap","intransitive verb","dzap","look like, seem","","Hoyda la dzaba.","","","","","","","","Dunn, Practical Dictionary entry: 248.","1","","","","","","","","","","","","","","",
"gidi sgüü","intransitive verb","","stop","","wil gidi sgüü machine.","where the machine stopped.","","","","","","","","1","","","","","","","","","","","","","","",
"aadit","common noun","*aad/it","fisherman; usage: refers to those who fish with nets","","Heelda ak'aadit da gyiyaaks.","There are lots of fishermen fishing out in the ocean.","","Spoken example sentence with word: aadit","aadit-fisherman-br-K-2014.mp3","Beatrice Robinson, Gitxaała","","","Dunn, Practical Dictionary entry: 4.","1","","Person saying: aadit","","aadit-fisherman-br-K-2014.mp3","","","","","Image depicting: aadit","FISHERMAN 4.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"güüt'a̱xsk","","","ask","","Güüt'axsgas Telli goo 'na hawn.","Terry asked what you mean.","","","","","","","","1","","","","","","","","","","","","","","",
"'liyaak","transitive verb","'li/*yaak","drop in on; pass by; come upon","","'Liyaaka'nut Tammy ła dm waaxsm dm hałelsm.","Tammy caught up with me before we walked to work.","","Spoken example sentence with word: 'liyaak","'liyaak-dl-hb-01.mp3","","","","","1","","","","'liyaak-dl-hb-01.mp3","","","","","Image depicting: 'liyaak","FRIENDS VISITING.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"wa̱p laałk","common noun","*wa̱p/*laałk","hotel","","Wa̱p laałk wil luwa̱nm da Kxeen.","We stayed in the hotel in Prince Rupert.","","Spoken example sentence with word: wa̱p laałk","wap_laalk-dl-hb-03.mp3","","","","","1","","","","wap_laalk-dl-hb-03.mp3","","","","","Image depicting: wa̱p laałk","HOTEL 1.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"la̱xsimaay","common noun","la̱x/si/*maay","June (last part of the month); month/season of picking berries; berry-picking season","","La̱xsimaay wil miiga maay.","The berries are ripe in June.","","Spoken example sentence with word: la̱xsimaay","laxsimaay-ab-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 735.  Dunn, Practical Dictionary entry: 1126.","1","","Person saying: la̱xsimaay","","laxsimaay-ab-hb-01.mp3","","","","","","","","","","",
"'wa̱hk'üült","Adverb","'wa̱h/*küült","sometimes; now and then","","Ada 'nii hoym 'wa̱hküüdat ła yel 'asm.","And sometimes we use it to whip soapberries.","","Spoken example sentence with word: 'wa̱hk'üült","'wahkuult-dl-hb-03.mp3","","","","","1","","","","'wahkuult-dl-hb-03.mp3","","","","","","","","","","",
"ts'iłina̱'a̱x","common noun","ts'i/łi/*na̱'a̱x","apron","","Sgüüdm ts'iłina̱'a̱xsn dziła guugn.","You have to put on your apron when you cook.","","Spoken example sentence with word: ts'iłina̱'a̱x","ts'ilina'ax-ge-hb-01.mp3","","","","Dunn, Practical Dictionary entry: 1939.","1","","","","ts'ilina'ax-ge-hb-01.mp3","","","","","Image depicting: ts'iłina̱'a̱x","APRON 5.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"lułguymk","intransitive verb","lu/*łgu/ymk","in the shade","","","","","","","","","","","1","","","","","","","","","","","","","","",
"ba'a","kinship term noun","ba'a","father, uncle; usage: Address (F, MZH)","","Nah heelda laawksm ts'amti das Ba'a.","Dad had lots of flashlights.","","Spoken example sentence with word: ba'a","ba'a-mb-k-01.mp3","","","","","1","","","","ba'a-mb-k-01.mp3","","","","","Image depicting: ba'a","GIFT FOR DAD 6.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"g̱alam layaa","intransitive verb","","go the wrong way, go the other way","","","","","","","","","","","1","","","","","","","","","","","","","","",
"łuunti","intransitive verb","*łuun/ti","angry; mad","","Sa łuunti sila hałelsu.","The person I'm working with suddenly got angry.","","","","","","","Dunn, Practical Dictionary entry: 1333.  Dunn, Practical Dictionary entry: 1353.","1","","","","","","","","","Image depicting: łuunti","SIMPLE ANGRY.jpg","","Image from Print Artist Platinum software, version 23, Bonus Graphics CD.","","",
"yüü","intransitive verb","yüü","hide (usage: No object)","","Dm yüü'nu da ts'm gyits'oon.","I am going to hide in the back room.","","Spoken example sentence with word: yüü","yuu-dl-hb-03.mp3","","","","Dunn, Practical Dictionary entry: 2247.","1","","","","yuu-dl-hb-03.mp3","","","","","","","","","","",
"yüü","transitive verb","yüü","hide something","","wil lut li'yüüdiga sm'ooygitga","where the chief had hidden them in","","","","HB 02 Vi 92.1","","","Dunn, Practical Dictionary entry: 2247.","1","","","","","","","","","","","","","","",
"ligi=","prenominal","*li/gi","any","","Hawyu das nagwaat aka dm dit gyik hatshayts k'abatgüüłk a ligyinda.","I told their father that he wasn’t going to send the kids anywhere again.","","","","Fumiko S 7.1","","","","1","","","","","","","","","","","","","","",
"ligi=","preverbal","*li/gi","just","","Łaxłeexgmt gya'wn dawil ligi k'wił wanm,","When we were done, then we just sat around,","","","","HB 07 Co 81.1","","","","1","","","","","","","","","","","","","","",
"silees","intransitive verb","","crochet","","Luk'wil üügida'nu dm di sileesu.","I am really clumsy when I crochet.","","","","","","","","1","","","","","","","","","","","","","","",
"haldaaw","transitive verb","","dye (as in dye hair, or dye clothing)","","Dm haldaawtu na g̱awsu.","I will dye my hair.","","","","","","","","1","","","","","","","","","","","","","","",
"sg̱a'ya̱x","intransitive verb","","hang across, hang in the way","","Sg̱a̱'ya̱g̱a̱ hagwilhuu.","The rope is hanging in the way.","","Spoken example sentence with word: sg̱a'ya̱x","s-sga'yax-to hang-vn-hb-2015_1.mp3","Velna Nelson, Txałgiiw","","","","1","","","","s-sga'yax-to hang-vn-hb-2015_1.mp3","","","","","","","","","","",
"sg̱a'ya̱x","intransitive verb","","hang something across, hang something in the way","","Sg̱a̱'yag̱as Meeli hagwilhuu.","Mary hung the rope in the way.","","","","","","","","1","","","","","","","","","","","","","","",
"txaapxa̱'on","number","","four measures; four fathoms","","","","","","","","","","Dunn, Practical Dictionary entry: 1881.","1","","","","","","","","","","","","","","",
"ma̱nyaa aks","intransitive verb","","","","","","","","","","","","","1","","","","","","","","","","","","","","",
"loobm g̱a̱p'ilah","common noun","","shot; ammunition","","","","","","","","","","","1","","","","","","","","","","","","","","",
"ma̱n yaa","intransitive verb","ma̱n/*yaa","walk up, go up, ascend","","","","","","","","","","Dunn, Practical Dictionary entry: 1397. Dunn, Practical Dictionary entry: 1454.","1","","Person saying: ma̱n yaa","","","","","","","","","","","","",
"ma̱n yaa","intransitive verb","ma̱n/*yaa","mature","","a wil ma̱n yaa sg̱a̱dpduum.","","","","","Conversa 25.1","","","Dunn, Practical Dictionary entry: 1397. Dunn, Practical Dictionary entry: 1454.","1","","Person saying: ma̱n yaa","","","","","","","","","","","","",
"Ha'liksila̱xla̱g̱a̱ Miyaanm","common noun","ha/'li/ksi/la̱x/*la̱g̱/a̱/mi/*yaan/m","Christmas","","Ha'liksila̱xla̱g̱a̱ Miyaanm wil ksila̱xla̱g̱a̱ Miyaanm.","Christmas is when Christ was born.","","","","","","","Dunn, Practical Dictionary entry: 715.","1","","","","","","","","","","","","","","",
"ḵ'oomtk","intransitive verb","ḵ'oomtk","hope","","","","","","","","","","Dunn, Practical Dictionary entry: 443.  Dunn, Practical Dictionary entry: 937.","1","","","","","","","","","","","","","","",
